split,image_path,label_path,class_id,class_name,x_center,y_center,width,height,bbox_area,aspect_ratio,bbox_valid,model
train,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\images\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.jpg,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\labels\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.txt,4,Player,0.64609375,0.47109375,0.0671875,0.2328125,0.01564208984375,0.2885906040268456,True,ball_detector_model.pt
train,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\images\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.jpg,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\labels\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.txt,6,Scoreboard,0.2625,0.93984375,0.4796875,0.065625,0.0314794921875,7.309523809523809,True,ball_detector_model.pt
train,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\images\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.jpg,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\labels\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.txt,4,Player,0.35,0.5234375,0.0609375,0.2390625,0.01456787109375,0.2549019607843137,True,ball_detector_model.pt
train,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\images\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.jpg,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\labels\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.txt,4,Player,0.53984375,0.66328125,0.05,0.22734375,0.0113671875,0.21993127147766323,True,ball_detector_model.pt
train,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\images\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.jpg,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\labels\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.txt,4,Player,0.5078125,0.41640625,0.065625,0.1984375,0.013022460937499999,0.33070866141732286,True,ball_detector_model.pt
train,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\images\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.jpg,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\labels\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.txt,5,Ref,0.85390625,0.496875,0.05234375,0.221875,0.01161376953125,0.2359154929577465,True,ball_detector_model.pt
train,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\images\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.jpg,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\labels\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.txt,4,Player,0.22578125,0.346875,0.04453125,0.18515625,0.0082452392578125,0.24050632911392406,True,ball_detector_model.pt
train,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\images\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.jpg,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\labels\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.txt,4,Player,0.1,0.46640625,0.04453125,0.234375,0.01043701171875,0.19,True,ball_detector_model.pt
train,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\images\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.jpg,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\labels\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.txt,1,Clock,0.903125,0.0515625,0.03671875,0.065625,0.0024096679687500002,0.5595238095238095,True,ball_detector_model.pt
train,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\images\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.jpg,D:\Basketball_analysis\training_notebooks\Basketball-Players-17\train\labels\frame_102223_jpg.rf.81232c63f7a481d9beb6ff1d315e121a.txt,5,Ref,0.6234375,0.784375,0.046875,0.2,0.009375000000000001,0.234375,True,ball_detector_model.pt
